dim2_type,dim2_code,dimension2_type,dimension2_code
sa2,125000,SA2,125000
sa2,125100,SA2,125100
sa2,125201,SA2,125201
sa2,125300,SA2,125300
sa2,125400,SA2,125400
sa2,125500,SA2,125500
sa2,125600,SA2,125600
sa2,125701,SA2,125701
sa2,125800,SA2,125800
sa2,125900,SA2,125900
sa2,126000,SA2,126000
sa2,126100,SA2,126100
sa2,126401,SA2,126401
sa2,126702,SA2,126702
sa2,127900,SA2,127900
sa2,128000,SA2,128000
sa2,128101,SA2,128101
sa2,128200,SA2,128200
sa2,128301,SA2,128301
sa2,128401,SA2,128401
sa2,128501,SA2,128501
sa2,128601,SA2,128601
sa2,128700,SA2,128700
sa2,128800,SA2,128800
sa2,128901,SA2,128901
sa2,128902,SA2,128902
sa2,129000,SA2,129000
sa2,129101,SA2,129101
sa2,129201,SA2,129201
sa2,129501,SA2,129501
sa2,129902,SA2,129902
sa2,131000,SA2,131000
sa2,131100,SA2,131100
sa2,131200,SA2,131200
sa2,131300,SA2,131300
sa2,131400,SA2,131400
sa2,131500,SA2,131500
sa2,131600,SA2,131600
sa2,131700,SA2,131700
sa2,131801,SA2,131801
sa2,131802,SA2,131802
sa2,131900,SA2,131900
sa2,132001,SA2,132001
sa2,132002,SA2,132002
sa2,132100,SA2,132100
sa2,132200,SA2,132200
sa2,132501,SA2,132501
sa2,133800,SA2,133800
sa2,133900,SA2,133900
sa2,134000,SA2,134000
sa2,134100,SA2,134100
sa2,134200,SA2,134200
sa2,134301,SA2,134301
sa2,134400,SA2,134400
sa2,134500,SA2,134500
sa2,134600,SA2,134600
sa2,134700,SA2,134700
sa2,134800,SA2,134800
sa2,134900,SA2,134900
sa2,135000,SA2,135000
sa2,135100,SA2,135100
sa2,135200,SA2,135200
sa2,135300,SA2,135300
sa2,135401,SA2,135401
sa2,136002,SA2,136002
sa2,136900,SA2,136900
sa2,137000,SA2,137000
sa2,137100,SA2,137100
sa2,137300,SA2,137300
sa2,137400,SA2,137400
sa2,137500,SA2,137500
sa2,137600,SA2,137600
sa2,137701,SA2,137701
sa2,137800,SA2,137800
sa2,137901,SA2,137901
sa2,138000,SA2,138000
sa2,138100,SA2,138100
sa2,138200,SA2,138200
sa2,138301,SA2,138301
sa2,138302,SA2,138302
sa2,138501,SA2,138501
sa2,138502,SA2,138502
sa2,139900,SA2,139900
sa2,140000,SA2,140000
sa2,140100,SA2,140100
sa2,140200,SA2,140200
sa2,140300,SA2,140300
sa2,140400,SA2,140400
